Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,64.3,57.2,3166341,2819597,346744,11.0
2010,Feb,64.4,57.3,3174143,2825320,348823,11.0
2010,Mar,64.5,57.5,3181033,2832872,348161,10.9
2010,Apr,64.2,57.2,3185758,2840912,344846,10.8
2010,May,64.2,57.4,3187271,2848122,339149,10.6
2010,Jun,64.1,57.4,3185465,2852903,332562,10.4
2010,Jul,64.0,57.4,3181242,2854586,326656,10.3
2010,Aug,63.8,57.4,3176046,2854268,321778,10.1
2010,Sep,63.7,57.3,3170732,2853388,317344,10.0
2010,Oct,63.6,57.3,3166143,2853952,312191,9.9
2010,Nov,63.5,57.3,3162275,2856852,305423,9.7
2010,Dec,63.4,57.4,3159427,2862029,297398,9.4
2011,Jan,63.3,57.5,3158887,2869164,289723,9.2
2011,Feb,63.3,57.6,3160522,2876584,283938,9.0
2011,Mar,63.4,57.7,3163109,2882053,281056,8.9
2011,Apr,63.4,57.7,3166405,2884769,281636,8.9
2011,May,63.5,57.7,3171288,2885793,285495,9.0
2011,Jun,63.6,57.7,3177867,2886780,291087,9.2
2011,Jul,63.7,57.7,3185643,2889288,296355,9.3
2011,Aug,63.8,57.8,3193257,2893693,299564,9.4
2011,Sep,63.9,57.9,3199028,2899629,299399,9.4
2011,Oct,63.9,58.0,3202015,2906222,295793,9.2
2011,Nov,63.8,58.1,3201209,2911729,289480,9.0
2011,Dec,63.7,58.1,3196276,2914603,281673,8.8
2012,Jan,63.5,58.1,3188316,2914437,273879,8.6
2012,Feb,63.3,58.0,3179585,2911957,267628,8.4
2012,Mar,63.2,57.9,3171742,2907822,263920,8.3
2012,Apr,63.0,57.8,3165417,2902880,262537,8.3
2012,May,62.9,57.7,3161347,2898841,262506,8.3
2012,Jun,62.8,57.6,3159779,2897215,262564,8.3
2012,Jul,62.8,57.6,3160387,2898371,262016,8.3
2012,Aug,62.8,57.6,3163069,2901505,261564,8.3
2012,Sep,62.9,57.7,3167606,2905442,262164,8.3
2012,Oct,62.9,57.7,3172520,2908732,263788,8.3
2012,Nov,63.0,57.7,3176648,2910893,265755,8.4
2012,Dec,63.0,57.7,3179250,2912145,267105,8.4
2013,Jan,63.0,57.7,3182174,2912845,269329,8.5
2013,Feb,63.0,57.7,3181912,2914139,267773,8.4
2013,Mar,63.0,57.7,3181709,2917519,264190,8.3
2013,Apr,63.0,57.8,3182826,2923774,259052,8.1
2013,May,63.0,58.0,3184914,2931401,253513,8.0
2013,Jun,63.0,58.1,3187584,2939083,248501,7.8
2013,Jul,63.0,58.2,3190762,2946803,243959,7.6
2013,Aug,63.0,58.3,3192815,2954613,238202,7.5
2013,Sep,63.0,58.4,3192847,2962355,230492,7.2
2013,Oct,62.9,58.5,3192201,2970053,222148,7.0
2013,Nov,62.9,58.7,3192528,2978018,214510,6.7
2013,Dec,62.9,58.8,3194641,2986237,208404,6.5
2014,Jan,63.0,59.0,3199151,2994670,204481,6.4
2014,Feb,63.0,59.1,3203824,3002769,201055,6.3
2014,Mar,63.1,59.2,3209321,3010315,199006,6.2
